time,total
21/06/2026 09:13:15,105000
21/06/2026 09:22:50,105000
21/06/2026 11:21:54,110000
21/06/2026 12:19:04,100000
21/06/2026 12:22:44,100000
21/06/2026 12:23:16,100000
21/06/2026 12:25:14,100000
21/06/2026 12:25:38,100000
21/06/2026 12:26:08,100000
21/06/2026 12:28:08,110000
